by,score,time,url,text,id,type,title,kids,descendants
jnord,94,1714690025,https://blog.trailofbits.com/2024/05/02/the-life-and-times-of-an-abstract-syntax-tree/,,40242224,story,The life and times of an Abstract Syntax Tree,"[40242527, 40245648, 40242584, 40245237, 40243945, 40243118, 40246757, 40250361, 40247581, 40247295, 40243264]",28
veryluckyxyz,94,1714697726,https://www.lesswrong.com/posts/jGuXSZgv6qfdhMCuJ/refusal-in-llms-is-mediated-by-a-single-direction,,40242939,story,Refusal in LLMs is mediated by a single direction,"[40248418, 40251554, 40249812, 40253092, 40248781, 40254915]",16
thelastgallon,18,1714784778,https://electrek.co/2024/05/02/fully-electric-10000-ton-container-ship-begun-service50000-kwh-batteries/,,40253973,story,Electric 10000 ton container ship has begun service with over 50MWh in batteries,"[40254035, 40256805, 40255305, 40257451, 40254933]",6
neversaydie,239,1714666145,https://www.bbc.co.uk/news/science-environment-68942123,,40237855,story,Wild orangutan seen healing his wound with a plant,"[40243152, 40239355, 40243943, 40246066, 40244974, 40238456, 40250703, 40248957, 40242795, 40239333, 40239693, 40238405, 40238562, 40238955, 40241695, 40238558]",148
amarcheschi,13,1714822978,https://www.foxglove.org.uk/2024/05/02/legal-challenge-to-amazon-uks-new-one-click-to-quit-the-union-tool/,,40256908,story,"Legal challenge to Amazon UK's new ""one-click to quit the union"" tool","[40256945, 40257406, 40257023, 40256938, 40256924]",6
bx376,27,1714719175,https://techcrunch.com/2024/04/27/your-team-sucks/,,40244911,story,Investors won't give you the real reason they are passing on your startup,"[40257999, 40251010, 40254038, 40252560, 40252456, 40252577, 40251792, 40250899]",17
apitman,3,1714758526,https://github.com/rivo/tview,,40250318,story,"Tview – Golang Terminal UI library with rich, interactive widgets",[40258270],0
tankfeeder,30,1714738686,https://craigbarnes.gitlab.io/dte/,,40246818,story,Dte – Text Editor,[40252576],1
TMWNN,100,1714782765,https://www.sfchronicle.com/sf/article/s-f-office-building-value-19438429.php,,40253831,story,"Value of one of S.F.'s biggest buildings plunges by 80% after Uber, Block leave","[40254179, 40254227, 40257364, 40254539, 40254386, 40254099, 40254345, 40253893, 40255953, 40254411, 40254459, 40253997, 40253833, 40254119]",101
pixelbyindex,83,1714626575,https://godotengine.org/article/dev-snapshot-godot-4-3-dev-6/,,40232896,story,Godot 4.3 Dev Snapshot 6 Updates,"[40249894, 40250016, 40251085, 40232907]",12
coloneltcb,419,1714757126,https://www.statnews.com/2024/05/01/wheelchair-repair-delay-numotion-national-seating-mobility/,,40250056,story,"As private equity dominates wheelchair market, users wait months for repairs","[40252212, 40251683, 40252463, 40252205, 40254154, 40253669, 40251864, 40252138, 40253318, 40251992, 40252773, 40252341, 40251677, 40253636, 40253898, 40252941, 40251778, 40253708, 40252166, 40253953, 40252229, 40251661, 40252365, 40252182, 40252489, 40251440, 40251719, 40252083, 40253878, 40253312]",284
demegire,178,1714660578,https://chromewebstore.google.com/detail/wiki-journey/lehenbcbjcnkhkikgopniimobmmdcfog,"Wiki Journey tracks your daily Wikipedia rabbit holes in a tree format.<p>Available on Firefox and Chrome:
<a href=""https:&#x2F;&#x2F;addons.mozilla.org&#x2F;en-US&#x2F;firefox&#x2F;addon&#x2F;wiki-journey&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;addons.mozilla.org&#x2F;en-US&#x2F;firefox&#x2F;addon&#x2F;wiki-journey&#x2F;</a>
<a href=""https:&#x2F;&#x2F;chromewebstore.google.com&#x2F;detail&#x2F;wiki-journey&#x2F;lehenbcbjcnkhkikgopniimobmmdcfog"" rel=""nofollow"">https:&#x2F;&#x2F;chromewebstore.google.com&#x2F;detail&#x2F;wiki-journey&#x2F;lehenb...</a><p>It&#x27;s open source, feel free to contribute!
<a href=""https:&#x2F;&#x2F;github.com&#x2F;demegire&#x2F;wiki-journey"">https:&#x2F;&#x2F;github.com&#x2F;demegire&#x2F;wiki-journey</a>",40236797,story,Show HN: An extension to track your Wikipedia adventures,"[40239180, 40237595, 40237819, 40237610, 40237439, 40237620, 40238302, 40238459, 40239368, 40243600, 40237297, 40238075, 40244567, 40238140, 40244785, 40237505, 40237427, 40237267, 40238445, 40240962, 40237700, 40237226, 40237670, 40237207, 40237323, 40237783]",62
dshipper,124,1714748759,https://every.to/chain-of-thought/i-spent-24-hours-with-github-copilot-workspaces,,40248514,story,I Spent 24 Hours with GitHub Copilot Workspaces,"[40249388, 40249675, 40250133, 40249425, 40256827, 40250002, 40249924, 40251140, 40249935, 40250300, 40249167, 40249408, 40250945, 40250937, 40255070, 40249616, 40249654, 40249421, 40250159, 40250246, 40250265, 40254210, 40249353]",71
toomuchtodo,238,1714757999,https://www.thebignewsletter.com/p/an-oil-price-fixing-conspiracy-caused,,40250226,story,Evidence of price-fixing in the oil industry?,"[40251655, 40252126, 40251962, 40251369, 40251117, 40251581, 40253941, 40251357, 40252902, 40253449, 40251595, 40251005, 40250965, 40251458, 40250913, 40251252]",147
fagnerbrack,118,1714748826,https://frontendmasters.com/blog/what-you-need-to-know-about-modern-css-spring-2024-edition/,,40248530,story,What You Need to Know about Modern CSS (Spring 2024 Edition),"[40252861, 40250337, 40252964, 40250197, 40252647, 40250131, 40253145, 40253422, 40252351, 40253710]",19
molli,16,1714735805,https://chromewebstore.google.com/detail/scrix-audio-to-text-trans/aapbilffnkjhifbaejfmcjjcpdpadjfm,,40246445,story,Show HN: ScriX – Chrome extension summarizing speech into bullet points,"[40247850, 40255602, 40248359]",13
thesuperbigfrog,33,1714788786,https://blog.antoyo.xyz/rustc_codegen_gcc-progress-report-32,,40254259,story,Rustc_codegen_GCC: Progress Report #32,[40254272],2
axeleratorr,90,1714521847,https://demo.gocodestudio.com/studio/,"I built a web-based app for building websites. The main unique features are:<p>1. The ability to copy and paste any HTML and CSS into the editor with no limits. I was never able to find another app that could do this without some form of limitation.<p>2. CSS filtering, which means you can click on an element to view and edit the CSS selectors and rules that apply to that element alone. In many cases I&#x27;ve found CSS naming conventions like BEM to become irritating at certain scales, so this is an alternative solution. This part of the app needs some more development work but the concept is there.<p>3. Lightweight UI that leaves most of the development to code. I tend to get annoyed with UI&#x27;s that try and address every styling possibility because it feels like I&#x27;m spending too much time learning the app, when it would have been faster to just type a couple lines of CSS.<p>I would love to hear your feedback. There is no sign up and is <i>not</i> mobile-friendly.<p>Hit [C] on the keyboard to open the code editor or hit the &quot;&lt;&gt;&quot; icon in the toolbar.",40217998,story,Show HN: Browser-based web design platform with code import and CSS filters,"[40243863, 40245116, 40247188, 40222139, 40244210, 40247998, 40224821, 40244031]",17
jshchnz,108,1714690732,https://www.emergetools.com/deep-dives/rabbit-r1,,40242297,story,An analysis of the Rabbit R1  APK,"[40243918, 40243034, 40242840, 40242925, 40242909, 40242770, 40243907, 40243324, 40244064, 40243739, 40242928, 40243815, 40242727, 40243400, 40242779, 40243733, 40243003]",107
jjgreen,87,1714554444,https://tex.stackexchange.com/questions/716175/possible-to-dot-your-is-with-hearts,,40221035,story,Possible to dot your Is with hearts?,"[40238048, 40240259, 40243485, 40234988]",9
xnhbx,23,1714791655,https://asia.nikkei.com/Business/Technology/Japan-ministry-asks-Line-Yahoo-operator-to-shed-Naver-influence,,40254472,story,"Japan ministry asks Line, Yahoo operator to shed Naver influence",,0
zdw,40,1714776862,https://www.timeextension.com/features/flashback-how-the-kindness-of-sega-saved-nvidia-from-going-under,,40253245,story,How the Kindness of Sega Saved Nvidia from Going Under,"[40256354, 40255555, 40255662, 40256658]",6
ankitg12,116,1714735422,https://www.nextplatform.com/2024/05/02/how-to-make-more-money-renting-a-gpu-than-nvidia-makes-selling-it/,,40246398,story,How to Make More Money Renting a GPU Than Nvidia Makes Selling It,"[40247274, 40248579, 40247099, 40247225, 40246843, 40246812, 40249175, 40248845, 40247229]",56
thunderbong,5,1714750097,https://novum.substack.com/p/the-internet-is-like-a-city,,40248795,story,The Internet Is Like a City (But Not in the Way You'd Think),[40249078],1
zh2408,7,1714749854,https://github.com/Cocoon-Data-Transformation/cocoon,"The problem we solve is profiling tables: this is the initial step where you need to understand the table and identify any anomalies.<p>During the process, many small decisions require semantic understanding. For example, missing values are normal for &#x27;deathdate&#x27; (still alive) but abnormal for &#x27;name.&#x27; For outliers, 100 for ages is fine, but some are -1, which is impossible! We use LLMs to semantically understand your tables and detect anomalies.<p>You can try it by uploading a CSV, and we will email back the profile: <a href=""https:&#x2F;&#x2F;cocoon-data-transformation.github.io&#x2F;page&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;cocoon-data-transformation.github.io&#x2F;page&#x2F;</a><p>Let me know your feedback. Thanks!",40248744,story,Show HN: An open-source tool that semantically profiles your data using LLMs,[40249297],2
ethanholt1,41,1714723870,https://www.pcmag.com/news/yikes-windows-10-sees-uptick-as-windows-11-share-decreases,,40245363,story,Windows 10 share increases while Windows 11 share decreases,"[40250597, 40245551, 40247677, 40254482, 40249710, 40255359, 40255800, 40247721, 40247505, 40252567, 40247530, 40248608, 40252814, 40255263]",28
microflash,7,1714765157,https://www.nngroup.com/articles/content-design-systems/,,40251477,story,Content Standards in Design Systems,,0
robin_reala,14,1714803049,https://bugzilla.mozilla.org/show_bug.cgi?id=1894735,,40255307,story,ReCAPTCHA is broken for [some|most|all] Windows users,"[40255343, 40257502, 40257637, 40255516, 40257487, 40257520]",5
jchanimal,18,1714661237,http://axisofeval.blogspot.com/2024/05/delimited-generators.html,,40236923,story,Delimited Generators – A more natural API for JS generators,"[40240858, 40246837, 40241428, 40241313, 40240785, 40242285, 40241068, 40240905]",26
beardyw,22,1714806257,https://www.theguardian.com/science/article/2024/may/03/video-of-suns-surface-captures-solar-rain-eruptions-and-coronal-moss,,40255566,story,"Video of sun's surface shows solar rain, eruptions and coronal moss","[40257014, 40257566, 40256161, 40256197]",4
JonoBB,212,1714636334,https://sign.dropbox.com/blog/a-recent-security-incident-involving-dropbox-sign,,40233746,story,A recent security incident involving Dropbox Sign,"[40235548, 40233987, 40233976, 40236529, 40233944, 40237357, 40236130, 40233951, 40236773, 40234000, 40248780, 40234258, 40234654, 40234161, 40234014]",67
chapulin,65,1714670503,https://www.quantamagazine.org/pleasure-or-pain-he-maps-the-neural-circuits-that-decide-20240416/,,40238788,story,Pleasure or pain? He maps the neural circuits that decide,"[40243987, 40240368, 40245539, 40243732, 40241406, 40241190]",30
hubraumhugo,127,1714624911,https://geospy.ai/,,40232755,story,AI Photo Geolocation,"[40237191, 40236685, 40235940, 40236219, 40238198, 40236263, 40241101, 40234732, 40235689, 40237464, 40234638, 40240471, 40234735, 40235448, 40235438, 40234830, 40235152, 40234525, 40236189, 40235180, 40235739, 40238271, 40236956, 40236610, 40238922, 40236868, 40240337, 40234576, 40236820, 40240862, 40242418, 40234763, 40235483, 40236069, 40236765, 40237195, 40236135, 40236972, 40235622, 40238088, 40235067, 40235860, 40240491, 40235687, 40234806, 40235441, 40237100, 40237662, 40237733, 40234958, 40238704, 40235252, 40234795, 40237557, 40240276, 40240627, 40237581, 40234635]",101
mmastrac,119,1714617332,https://www.atlasobscura.com/articles/vivianite-blue-human-remains,,40232171,story,A blue mineral that grows on buried bodies and confuses archaeologists (2016),"[40234978, 40235763, 40235092, 40240554, 40239816, 40235288, 40239836, 40236525, 40243454, 40237703, 40237580, 40235321]",74
sohkamyung,92,1714723699,https://www.theregister.com/2024/05/03/on_call/,,40245348,story,"I can fix this PC, boss, but I'll need to play games for hours to do it","[40247273, 40246789, 40256350, 40246954, 40247014, 40247872, 40246702, 40246846]",35
camel-cdr,36,1714589210,https://cpldcpu.wordpress.com/2024/05/01/decapsulating-the-ch32v203-reveals-a-separate-flash-die/,,40227528,story,Decapsulating the CH32V203 Reveals a Separate Flash Die,[40249194],1
ilamont,8,1714766477,https://www.bloomberg.com/news/articles/2024-05-02/huawei-secretly-backs-us-based-research-with-millions-in-prizes-through-dc-group,,40251745,story,"Huawei Secretly Backs US Research, Awarding Millions in Prizes",,0
zdw,73,1714666745,https://www.canada.ca/en/conservation-institute/services/conservation-preservation-publications/canadian-conservation-institute-notes/longevity-recordable-cds-dvds.html,,40237984,story,"Longevity of Recordable CDs, DVDs and Blu-Rays (2020)","[40239553, 40240210, 40239666, 40240326, 40241094, 40240958, 40239492, 40239586, 40240219, 40240990, 40240406, 40241825, 40240619, 40239501, 40240694, 40241403, 40239503, 40239524]",54
CTOSian,65,1714725057,https://github.com/kuba2k2/firefox-webserial,,40245463,story,Firefox Webserial Addon,"[40249296, 40247510, 40248978, 40250739, 40247439]",53
pepys,74,1714621218,https://blogs.bl.uk/digitisedmanuscripts/2024/04/a-knights-tale.html,,40232466,story,A knight's tale,"[40242407, 40238472, 40239785, 40238157, 40242279, 40239296, 40243071, 40239869, 40240480]",36
belter,10,1714831926,https://techcrunch.com/2024/05/02/eu-csam-scanning-council-proposal-flaws/,,40257812,story,EU plan to force apps to scan for CSAM risks millions of false positives,[40257816],0
Brajeshwar,74,1714755989,https://www.carbonbrief.org/co2-removal-gap-shows-countries-lack-progress-for-1-5c-warming-limit/,,40249876,story,CO2 removal 'gap' shows countries 'lack progress' for 1.5C warming limit,"[40250156, 40252208, 40250329, 40251070, 40250694, 40251191, 40250823, 40252810, 40252305, 40250709, 40254672, 40252745, 40254159, 40252424, 40251239, 40250061]",76
Tomte,358,1714665643,https://crypto.stanford.edu/~dabo/courses/OnlineCrypto/,,40237745,story,Online Cryptography Course (2017),"[40239098, 40238029, 40238257, 40239823, 40238436, 40239088, 40239391, 40240615, 40240114, 40238891, 40243688, 40238221, 40239911, 40238873, 40239770, 40239884, 40240546, 40239564, 40239020, 40240105, 40238245, 40240167, 40239786, 40241770, 40239876, 40238545, 40241971]",56
altilunium,5,1714717463,https://github.com/enzet/map-machine,,40244729,story,Map Machine,,0
e2e4,232,1714685082,https://techcrunch.com/2024/05/02/they-thought-they-were-joining-an-accelerator-instead-they-lost-their-startups/,,40241525,story,They thought they were joining an accelerator – instead they lost their startups,"[40242332, 40241878, 40243153, 40243461, 40241838, 40242209, 40253761, 40242803, 40246783, 40243746, 40242828, 40243196, 40243371, 40243036, 40242137, 40242671, 40245646, 40243267, 40242856, 40244233, 40246835, 40243271, 40242313, 40243059, 40243307, 40243069, 40241973, 40241765, 40246661, 40241747]",152
Hooke,12,1714658650,https://publicdomainreview.org/essay/richard-owen-and-victorian-literature,,40236462,story,Professor Megalow's Dinosaur Bones: Richard Owen and Victorian literature,,0
jasondavies,126,1714557887,https://research.paulengstler.com/invisible-stitch/,,40221345,story,Invisible Stitch: Generating Smooth 3D Scenes with Depth Inpainting,"[40234184, 40231106]",5
wegwerff,346,1714498992,https://mgree.github.io/ffs/,,40213731,story,The File Filesystem (2021),"[40220211, 40215710, 40216398, 40214516, 40214962, 40216762, 40214576, 40220409, 40214271, 40214524, 40226898, 40220821, 40225294, 40237202, 40233272, 40215763, 40214230, 40217942, 40216715, 40215480, 40219028, 40215697, 40214314]",101
rntn,27,1714737359,https://www.techdirt.com/2024/05/02/was-there-a-trojan-horse-hidden-in-section-230-all-along-that-could-enable-adversarial-interoperability/,,40246642,story,Is There Language in Section 230 That Could Enable Adversarial Interoperability?,"[40247711, 40246674, 40249528]",4
elijahbenizzy,39,1714656159,https://github.com/DAGWorks-Inc/hamilton/tree/main/ui,"Hey HN – Stefan and Elijah here from DAGWorks (<a href=""http:&#x2F;&#x2F;dagworks.io&#x2F;"">http:&#x2F;&#x2F;dagworks.io&#x2F;</a>, YC W23).<p>If you don’t remember us from our previous HN launch (<a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=35056903"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=35056903</a>), we’re the authors of Hamilton (<a href=""https:&#x2F;&#x2F;github.com&#x2F;dagworks-inc&#x2F;hamilton"">https:&#x2F;&#x2F;github.com&#x2F;dagworks-inc&#x2F;hamilton</a>), an open-source library for building self-documenting, modular dataflows in python that works for data, ML, LLM pipelines, &amp; even web-workflows.<p>We’ve been developing this UI for a while and we’re excited to say we open-sourced it! It comes out of the box with the following capabilities, and only requires a single line code change to get:<p>1. Execution + metadata capture, e.g. automatic code profiling<p>2. Data&#x2F;artifact observability, e.g. summary statistics over dataframes, pydantic objects, etc...<p>3. Lineage &amp; provenance of data, e.g. quickly see what is upstream &amp; downstream of code&#x2F;data.<p>4. Asset&#x2F;transform catalog, e.g. search &amp; find if feature transforms&#x2F;metrics&#x2F;datasets&#x2F;models exist and where they’re used.<p>While the UI currently only self-populates for Hamilton dataflows, we’re looking to expand to other frameworks (we’d love your feedback!).<p>Check out the following video for an overview: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=0VIVSeN7Ij8"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=0VIVSeN7Ij8</a>, as well as the documentation: <a href=""https:&#x2F;&#x2F;hamilton.dagworks.io&#x2F;en&#x2F;latest&#x2F;concepts&#x2F;ui&#x2F;"">https:&#x2F;&#x2F;hamilton.dagworks.io&#x2F;en&#x2F;latest&#x2F;concepts&#x2F;ui&#x2F;</a>.<p>We’re looking for feedback&#x2F;adopters – feel free to reach out if you have any questions!",40235944,story,"Show HN: Hamilton's UI – observability, lineage, and catalog for data pipelines","[40237169, 40244558, 40237525, 40244753, 40249414]",10
alanpham,69,1714790311,,"As a designer, I use Lorem Ipsum a lot but none satisfied me. They are either too slow or too clunky.<p><a href=""https:&#x2F;&#x2F;loremcopy.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;loremcopy.com&#x2F;</a><p>It&#x27;s a weekend project so why not (•‿•)<p>Also, I am new here. I didn&#x27;t know about Hacker News before. Glad to meet you all.",40254384,story,Show HN: I hate online Lorem Ipsum Generator so I made my own,"[40254455, 40255529, 40255741, 40254682, 40254838, 40255498, 40255025, 40255999, 40257766, 40255748, 40255594, 40255867, 40255747, 40254495, 40256261, 40254567, 40255143, 40254878, 40254559, 40255742, 40254621, 40254807, 40255639, 40254430]",53
PaulHoule,180,1714686264,https://www.anandtech.com/show/21373/tsmc-adds-silicon-photonics-coupe-roadmap-128tbps-on-package,,40241694,story,"TSMC Jumps into Silicon Photonics, Lays Out Roadmap for 12.8 Tbps Interconnect","[40242304, 40242219, 40246029]",20
vdelitz,182,1714503127,https://www.corbado.com/blog/passkey-implementation-pitfalls-misconceptions-unknowns,,40214736,story,"Passkey Implementation: Misconceptions, pitfalls and unknown unknowns","[40243137, 40245069, 40243745, 40243335, 40242327, 40245692, 40242809, 40243298, 40243039, 40245084, 40242011, 40242370, 40244847, 40244873, 40243383, 40242460, 40245597, 40243547, 40242966, 40243604, 40242824]",176
koevet,117,1714541497,https://www.nytimes.com/2024/04/30/books/paul-auster-dead.html,,40219823,story,Paul Auster has died,"[40226741, 40226990, 40228059, 40229432, 40221405, 40226755, 40224411, 40220491, 40232144, 40221636, 40233924, 40226869, 40228812, 40227891, 40226666, 40227938, 40227006, 40229155]",44
stalfosknight,171,1714771952,https://arstechnica.com/information-technology/2024/05/microsoft-ties-executive-pay-to-security-following-multiple-failures-and-breaches/,,40252619,story,Microsoft ties executive pay to security after multiple failures and breaches,"[40253231, 40252930, 40253025, 40253276, 40253008, 40252969, 40253125, 40252984, 40252898, 40253599, 40253202, 40254049, 40253152, 40253703, 40254803, 40252947, 40253486, 40253214, 40253706, 40253308, 40253255]",98
bschne,469,1714543734,https://medium.com/@anastasia.bizyayeva/every-map-of-china-is-wrong-bc2bce145db2,,40220072,story,Every map of China is wrong,"[40220434, 40245011, 40244714, 40241786, 40243355, 40248255, 40220375, 40244645, 40243481, 40246072, 40244105, 40243314, 40245795, 40249787, 40248254, 40247515, 40246118, 40243501, 40243941, 40220143, 40243218, 40242917, 40242757, 40245469, 40246280, 40244039, 40243749, 40245642, 40244377, 40248188, 40244969, 40246905, 40244234, 40243032, 40242833, 40220793]",253
gmjosack,259,1714517656,https://www.androidauthority.com/rabbit-r1-is-an-android-app-3438805/,,40217453,story,The Rabbit R1 is probably running Android and is powered by an Android app,"[40228458, 40223506, 40218712, 40222157, 40226231, 40218945, 40218529, 40218435, 40226983, 40219695, 40218311, 40234550, 40231305, 40223456, 40218485, 40223500, 40217655, 40223723, 40226499, 40232464, 40228038, 40231729, 40223538, 40218586, 40226259, 40231889, 40229839, 40226013, 40218976, 40219055, 40224320, 40230551, 40219150, 40224123, 40219025, 40218990, 40221378, 40218426, 40218688, 40224041]",303
thunderbong,16,1714795194,https://arstechnica.com/security/2024/05/microsoft-plans-to-lock-down-windows-dns-like-never-before-heres-how/,,40254688,story,Microsoft plans to lock down Windows DNS like never before,"[40257641, 40257179]",2
abetusk,72,1714681879,https://www.jakelow.com/blog/hobby-curves,,40241057,story,Hobby's algorithm for aesthetic Bézier splines,"[40242377, 40243830, 40253016, 40242459, 40246977, 40250560, 40243171, 40242635, 40248872]",28
whoishiring,538,1714575654,,"Please state the location and include REMOTE, INTERNS and&#x2F;or VISA
when that sort of candidate is welcome. When remote work is <i>not</i> an option,
include ONSITE.<p>Please only post if you personally are part of the hiring company—no
recruiting firms or job boards. One post per company. If it isn&#x27;t a household name,
explain what your company does.<p>Commenters: please don&#x27;t reply to job posts to complain about
something. It&#x27;s off topic here.<p>Readers: please only email if you are personally interested in the job.<p>Searchers: try <a href=""https:&#x2F;&#x2F;hnresumetojobs.com"" rel=""nofollow"">https:&#x2F;&#x2F;hnresumetojobs.com</a>,
<a href=""https:&#x2F;&#x2F;hnhired.fly.dev"" rel=""nofollow"">https:&#x2F;&#x2F;hnhired.fly.dev</a>, <a href=""https:&#x2F;&#x2F;kennytilton.github.io&#x2F;whoishiring&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;kennytilton.github.io&#x2F;whoishiring&#x2F;</a>, <a href=""https:&#x2F;&#x2F;hnjobs.emilburzo.com"" rel=""nofollow"">https:&#x2F;&#x2F;hnjobs.emilburzo.com</a>.<p>Don&#x27;t miss these other fine threads:<p><i>Who wants to be hired?</i> <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=40224210"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=40224210</a><p><i>Freelancer? Seeking freelancer?</i> <a href=""https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=40224211"">https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=40224211</a>",40224213,story,Ask HN: Who is hiring? (May 2024),"[40225454, 40225377, 40224939, 40232133, 40236997, 40228613, 40224398, 40226218, 40232356, 40224990, 40226814, 40226619, 40225831, 40228787, 40226938, 40224804, 40225811, 40231926, 40225413, 40236467, 40238389, 40226418, 40236654, 40225484, 40236461, 40226020, 40232979, 40224597, 40224459, 40235764, 40234188, 40224775, 40225626, 40230198, 40225047, 40224266, 40255683, 40226390, 40224619, 40230432, 40225190, 40227133, 40226577, 40224352, 40232116, 40226706, 40252376, 40224811, 40224360, 40224245, 40226120, 40227026, 40224322, 40241213, 40226874, 40226856, 40252906, 40229091, 40224723, 40241325, 40229829, 40225623, 40249579, 40237989, 40238627, 40241540, 40224302, 40239663, 40226134, 40232035, 40224852, 40225563, 40226011, 40225528, 40234248, 40238081, 40247386, 40240353, 40235113, 40249055, 40238740, 40234711, 40234815, 40225502, 40225280, 40232570, 40236460, 40242334, 40227568, 40229208, 40235696, 40225998, 40224325, 40240943, 40231075, 40229701, 40238196, 40229552, 40229279, 40245660, 40251322, 40226599, 40230669, 40225455, 40226253, 40224957, 40229770, 40225547, 40229298, 40226397, 40231822, 40233319, 40224988, 40228355, 40224260, 40225577, 40227608, 40225796, 40230701, 40225312, 40230024, 40229018, 40224866, 40235534, 40225732, 40246298, 40227355, 40231457, 40230304, 40232456, 40248894, 40235391, 40224913, 40229017, 40226368, 40226079, 40234388, 40231705, 40231089, 40224654, 40229779, 40232963, 40231488, 40224755, 40250830, 40227146, 40225265, 40230816, 40248757, 40230303, 40227037, 40242024, 40225256, 40226072, 40232030, 40226567, 40229099, 40239186, 40235577, 40228923, 40245326, 40234277, 40225149, 40232679, 40234384, 40235400, 40226391, 40231859, 40231903, 40239280, 40235909, 40242564, 40229932, 40234171, 40237946, 40233974, 40229256, 40235407, 40233014, 40227180, 40230039, 40231119, 40233194, 40228486, 40227127, 40227159, 40234168, 40224688, 40235075, 40225402, 40233479, 40229820, 40234389, 40227273, 40231237, 40226104, 40228802, 40227490, 40227697, 40230641, 40227504, 40224305, 40229760, 40232481, 40225876, 40230703, 40226870, 40226659, 40227022, 40227396, 40226717, 40230610, 40233789, 40250815, 40226362, 40228668, 40224903, 40225918, 40226868, 40225133, 40233461, 40226820, 40228522, 40228308, 40224774, 40228211, 40224248, 40230338, 40224279, 40224222, 40224947, 40228436, 40228746, 40224230, 40225560, 40224690, 40232471, 40225614, 40226248, 40235891, 40225374, 40229744, 40225405, 40226926, 40230441, 40224786, 40227071, 40227153, 40226385, 40231835, 40226355, 40227615, 40227256, 40226439, 40224806, 40226715, 40226665, 40227347, 40224705, 40226509, 40233906, 40229499, 40231784, 40226694, 40225279, 40231307, 40225627, 40226445, 40224695, 40226824, 40228922, 40231306, 40231499, 40226491, 40224272, 40227766, 40224221, 40226780, 40225350, 40225778, 40233072, 40224689, 40228770, 40226839, 40227344, 40235754, 40228201, 40226424, 40229342, 40225501, 40229363, 40229739, 40229174, 40225017, 40229405, 40229302, 40231191, 40234320, 40243956, 40225738, 40224251, 40229730, 40229295, 40225216, 40227435, 40228577, 40225278, 40230565, 40227602, 40228416, 40225146, 40225379, 40231073, 40235470, 40233967, 40227565, 40230477, 40227152, 40228829, 40226683, 40226324, 40225033, 40250674, 40230932, 40227643, 40225321, 40226016, 40233012, 40226963, 40228079, 40224942, 40226527, 40227445, 40228554, 40224570, 40232157, 40228228, 40250860, 40237338, 40231252, 40239291, 40225210, 40227268, 40226454, 40227100, 40224278, 40237955, 40232411, 40238258, 40224638, 40224975, 40225739, 40245830, 40224469, 40235537, 40227150, 40234373, 40234484, 40226289, 40233814, 40231970, 40232488, 40248393, 40248274, 40233003, 40234689, 40234950, 40234507, 40235460, 40228010, 40226043, 40234326, 40234336, 40234329, 40234334, 40235219, 40227594, 40234006, 40225546, 40228804]",623
